smiles,cn,error
COCCC(C)C,19.953827726621107,0.04617227337889318
c1ccccc1,20.331947714021613,0.33194771402161294
C1=CC=CC=C1,20.33194771402162,0.33194771402162004
CCO,20.452130921481388,0.45213092148138756
C=C(C)C(=O)O,20.474914937741595,0.47491493774159466
COC(=O)C=C(C)C,19.49480741921032,0.5051925807896787
CC=C(C)C(=O)OC,20.675649152454984,0.6756491524549837
COC(C)OC,20.747652798284317,0.7476527982843173
CC=CC(=O)OC,19.167840450579607,0.8321595494203926
COC(C)O,20.899647370093856,0.8996473700938559
COC(=O)CC(C)C,19.0596383109531,0.9403616890468989
C=CC(=O)O,21.055112308637323,1.055112308637323
CCC(=O)OC,18.86278185784144,1.1372181421585594
COCOC,18.8174008357155,1.1825991642845004
CCC(=O)O,21.38898550432035,1.388985504320349
